Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V),Real ID(HIP)
122,0.39937928,-77.06529438,4.78,122
154,0.48996506,-6.01397169,4.37,154
301,0.93488487,-17.33597002,4.55,301
355,1.1255098,-10.50949443,4.99,355
443,1.33394073,-5.70783255,4.61,443
677,2.09653333,29.09082805,2.07,677
746,2.29204036,59.15021814,2.28,746
765,2.35224949,-45.74698836,3.88,765
910,2.81628415,-15.46732287,4.89,910
1067,3.30895828,15.18361593,2.83,1067
1168,3.65045047,20.2066972,4.79,1168
1170,3.66013628,-18.93268628,4.44,1170
1366,4.27306518,38.68167915,4.61,1366
1473,4.58210555,36.7853273,4.51,1473
1562,4.85701265,-8.82382948,3.56,1562
1599,5.00797581,-64.8776232,4.23,1599
2021,6.41334183,-77.25503511,2.82,2021
2072,6.55048418,-43.67990933,3.93,2072
2081,6.57028075,-42.30512197,2.4,2081
2210,6.98213606,-33.0070446,4.86,2210
2472,7.85356695,-48.80356171,4.76,2472
2484,7.88566992,-62.95808549,4.36,2484
2487,7.88898014,-62.96544985,4.53,2487
2505,7.94299136,54.52232473,4.74,2505
2599,8.24994391,62.93178781,4.17,2599
2912,9.22016239,33.71935227,4.34,2912
2920,9.24277921,53.89693161,3.69,2920
3031,9.63958024,29.312369,4.34,3031
3092,9.83165567,30.86122579,3.27,3092
3179,10.12661349,56.53740928,2.24,3179
3245,10.33156671,-46.08500934,4.59,3245
3300,10.51618425,50.51254151,4.8,3300
3405,10.83851683,-57.46309763,4.36,3405
3414,10.8670447,47.02463657,4.95,3414
3419,10.89678452,-17.9866841,2.04,3419
3455,11.04752272,-10.60927365,4.77,3455
3504,11.18125882,48.28438262,4.48,3504
3693,11.83495908,24.26737703,4.08,3693
3786,12.17039736,7.58520186,4.44,3786
3801,12.20830552,50.96819154,4.9,3801
3821,12.27125262,57.8165477,3.46,3821
3881,12.45345723,41.07895474,4.53,3881
4147,13.25204382,-1.1442206,4.78,4147
4151,13.26783051,61.12355735,4.8,4151
4292,13.75080422,58.97279657,4.83,4292
4422,14.16671042,59.18116582,4.62,4422
4427,14.17708808,60.71674966,2.15,4427
4436,14.18790699,38.49925513,3.86,4436
4463,14.30178237,23.41775997,4.4,4463
4577,14.65144118,-29.35746436,4.3,4577
4906,15.73606615,7.89007256,4.27,4906
5165,16.52127713,-46.71849042,3.32,5165
5348,17.0960837,-55.24583235,3.94,5348
5364,17.14693197,-10.181928,3.46,5364
5372,17.18399735,86.25711803,4.24,5372
5434,17.37550908,47.2418241,4.26,5434
5447,17.43248991,35.62083048,2.07,5447
5542,17.77471116,55.14994765,4.34,5542
5571,17.86330901,21.03467568,4.66,5571
5586,17.91494471,30.08972962,4.51,5586
5742,18.43723014,24.58376482,4.67,5742
5862,18.79403213,-45.53209717,4.97,5862
5896,18.93956391,-68.87623708,4.25,5896
6193,19.86657455,27.26408682,4.74,6193
6242,20.02049027,58.2316161,4.95,6242
6411,20.58497087,45.5287566,4.87,6411
6537,21.00604671,-8.18275372,3.6,6537
6670,21.40503869,-14.59875437,4.9,6670
6686,21.45251267,60.23540347,2.66,6686
6692,21.48293404,68.12994739,4.72,6692
6813,21.9128547,45.40695287,4.83,6813
6867,22.0914236,-43.31772906,3.41,6867
7007,22.54559597,6.14393314,4.84,7007
7083,22.81242306,-49.07307701,3.93,7083
7097,22.87080776,15.34583101,3.62,7097
7294,23.48302496,59.23209665,4.68,7294
7513,24.19990413,41.40638491,4.1,7513
7588,24.42813204,-57.23666007,0.45,7588
7607,24.49792651,48.62848641,3.59,7607
7818,25.14501739,40.57710624,4.96,7818
7884,25.35794814,5.48760445,4.45,7884
7918,25.44381547,42.61380692,4.96,7918
7999,25.68132047,-3.69011692,4.98,7999
8068,25.9150637,50.6887655,4.01,8068
8102,26.02136441,-15.93955597,3.49,8102
8198,26.34828629,9.15764102,4.26,8198
8497,27.39662961,-10.68618074,4.66,8497
8645,27.86504416,-10.33494526,3.74,8645
8796,28.27041595,29.57939727,3.42,8796
8832,28.38235506,19.29409264,3.88,8832
8833,28.38890233,3.18747844,4.61,8833
8837,28.41174872,-46.30244631,4.39,8837
8886,28.59868107,63.67014686,3.35,8886
8903,28.65978771,20.80829949,2.64,8903
8928,28.73339519,-67.64748114,4.68,8928
9007,28.98680207,-51.60958673,3.69,9007
9009,29.00001575,68.68526545,4.97,9009
9061,29.16732782,-22.52671153,4.92,9061
9095,29.29163705,-47.38529869,4.82,9095
9153,29.48239763,23.5960961,4.79,9153
9236,29.69113269,-61.56992444,2.86,9236
9347,30.0009367,-21.07777193,3.99,9347
9480,30.48979079,70.90704605,4.49,9480
9487,30.51166929,2.76376048,3.82,9487
9505,30.57530917,54.48754946,4.99,9505
9598,30.85912643,72.42123962,3.95,9598
9640,30.97466283,42.32984832,2.1,9640
9677,31.12262534,-29.29683966,4.68,9677
9884,31.79285757,23.46277743,2.01,9884
9977,32.12144102,37.85918337,4.78,9977
10053,32.35535861,25.93997268,4.98,10053
10064,32.38550383,34.98739204,3.0,10064
10280,33.09301632,30.30321507,4.94,10280
10324,33.25004577,8.8467523,4.36,10324
10340,33.30558667,44.23168903,4.84,10340
10602,34.12708452,-51.51211145,3.56,10602
10644,34.26007346,34.22482985,4.84,10644
10670,34.32848216,33.84732099,4.03,10670
11001,35.43759585,-68.6594239,4.08,11001
11313,36.40583743,50.27866588,4.73,11313
11345,36.48755111,-12.290452,4.88,11345
11407,36.74627081,-47.70382692,4.24,11407
11484,37.03965786,8.4600887,4.3,11484
11569,37.26661741,67.40238385,4.46,11569
11767,37.94614689,89.26413805,1.97,11767
11783,38.02198846,-15.2443199,4.74,11783
11918,38.4613017,-28.2323401,4.96,11918
12093,38.9687042,5.59330163,4.87,12093
12387,39.87061789,0.3285168,4.08,12387
12390,39.89054885,-11.87158159,4.83,12390
12394,39.8967653,-68.2669476,4.12,12394
12413,39.94966387,-42.89163328,4.74,12413
12486,40.16638213,-39.85530905,4.11,12486
12623,40.5622035,40.19438688,4.91,12623
12706,40.82551897,3.23617162,3.47,12706
12719,40.86296031,27.70717078,4.65,12719
12770,41.03064356,-13.85867594,4.24,12770
12777,41.04869991,49.22866639,4.1,12777
12828,41.23488901,10.11421979,4.27,12828
12843,41.27492276,-18.57265077,4.47,12843
12876,41.38555249,-67.616724,4.83,12876
13061,41.97683942,29.24742385,4.52,13061
13147,42.27233113,-32.40628403,4.45,13147
13209,42.49578911,27.26079044,3.61,13209
13244,42.6189035,-75.06688108,4.76,13244
13254,42.64547584,38.31890838,4.22,13254
13268,42.67413655,55.89552955,3.77,13268
13288,42.75977464,-21.0039789,4.76,13288
13328,42.87846216,35.05989415,4.56,13328
13531,43.564427,52.76248991,3.93,13531
13701,44.10668245,-8.89760976,3.89,13701
13847,44.5654818,-40.30473491,2.88,13847
13879,44.69021034,39.66282739,4.68,13879
13884,44.69902505,-64.07129717,4.98,13884
13905,44.7654574,35.18311415,4.94,13905
13914,44.80305773,21.34044477,4.63,13914
13954,44.92873469,8.90740111,4.71,13954
14135,45.56991279,4.08992539,2.54,14135
14146,45.59830468,-23.62433613,4.08,14146
14328,46.19912598,53.50645031,2.91,14328
14354,46.29373754,38.84053298,3.32,14354
14382,46.38510717,56.7055481,4.77,14382
14576,47.04220716,40.9556512,2.09,14576
14632,47.26201363,49.61350009,4.05,14632
14668,47.37345463,44.85788896,3.79,14668
14817,47.82250605,39.61157075,4.61,14817
14838,47.90695691,19.72669777,4.35,14838
14862,47.98432711,74.39386878,4.85,14862
14879,48.01783332,-28.98910623,3.8,14879
15110,48.72547816,21.04462873,4.87,15110
15197,48.95844499,-8.8198405,4.8,15197
15382,49.59206509,-22.51114978,4.86,15382
15416,49.68259978,34.2226737,4.85,15416
15457,49.83974536,3.36997055,4.84,15457
15474,49.87904033,-21.7579421,3.7,15474
15510,49.97177014,-43.07154929,4.26,15510
15520,49.99690314,65.65232717,4.74,15520
15549,50.08485949,29.04849835,4.47,15549
15648,50.36086309,43.32965174,4.96,15648
15863,51.08061889,49.86124281,1.79,15863
15900,51.20349011,9.02906504,3.61,15900
16083,51.79217049,9.7327724,3.73,16083
16147,52.01270885,49.06293148,4.99,16147
16228,52.26722684,59.94033461,4.21,16228
16244,52.34179296,49.50901919,4.67,16244
16245,52.34244352,-62.93843436,4.71,16245
16281,52.47810837,58.87875244,4.55,16281
16335,52.64367585,47.99517199,4.36,16335
16341,52.65437447,-5.07516332,4.74,16341
16369,52.71819576,12.93668186,4.14,16369
16537,53.23509009,-9.45830584,3.72,16537
16611,53.44686638,-21.63281597,4.26,16611
16826,54.12233383,48.19270068,4.32,16826
16852,54.21882896,0.40283316,4.29,16852
16870,54.2736588,-40.27451075,4.57,16870
17304,55.56207975,-31.93839587,4.99,17304
17313,55.59434812,33.96503899,4.97,17313
17351,55.70884185,-37.31334485,4.59,17351
17358,55.7311754,47.7876533,3.01,17358
17378,55.81231706,-9.76519868,3.52,17378
17440,56.04814541,-64.80709398,3.84,17440
17448,56.07969347,32.28827325,3.84,17448
17499,56.21884811,24.1134484,3.72,17499
17529,56.29851422,42.57854437,3.77,17529
17531,56.30200876,24.46737879,4.3,17531
17573,56.45663804,24.36785796,3.87,17573
17587,56.50971937,63.34506772,4.78,17587
17593,56.53542672,-12.1017353,4.43,17593
17608,56.58150135,23.94846207,4.14,17608
17651,56.71245432,-23.248438,4.22,17651
17678,56.80929799,-74.23924251,3.26,17678
17702,56.87110065,24.10524193,2.85,17702
17797,57.14926223,-37.62012878,4.3,17797
17847,57.29054669,24.05352412,3.62,17847
17874,57.36367035,-36.2001125,4.17,17874
17884,57.38035594,65.52600645,4.39,17884
17959,57.58948256,71.33236777,4.59,17959
18216,58.42784574,-24.61221253,4.64,18216
18246,58.53299363,31.88365776,2.84,18246
18255,58.57286091,-2.95473348,4.46,18255
18488,59.28455287,61.10891703,4.99,18488
18505,59.3559814,63.07224944,4.95,18505
18532,59.46342138,40.01027315,2.9,18532
18543,59.50720862,-13.50824471,2.97,18543
18597,59.68640623,-61.40015059,4.56,18597
18614,59.74124892,35.79102701,3.98,18614
18673,59.98115045,-24.01625677,4.62,18673
18724,60.17008591,12.49037571,3.41,18724
18744,60.2241876,-62.15936923,4.48,18744
18772,60.32529605,-61.07905148,4.97,18772
18907,60.78907003,5.98930909,3.91,18907
19038,61.17357446,22.0820679,4.36,19038
19167,61.64606374,50.35135022,4.25,19167
19343,62.16530527,47.71259359,3.96,19343
19515,62.71013758,-41.99374121,4.93,19515
19587,62.96638834,-6.8377787,4.04,19587
19740,63.48496228,9.26389844,4.84,19740
19747,63.5003388,-42.29387294,3.85,19747
19777,63.59872149,-10.2558889,4.87,19777
19780,63.60596306,-62.47397888,3.33,19780
19811,63.72212566,40.48372394,4.67,19811
19812,63.72440722,48.40937312,4.12,19812
19849,63.8234923,-7.64455846,4.43,19849
19860,63.88352173,8.89240989,4.27,19860
19893,64.00621426,-51.48709578,4.26,19893
19921,64.12118133,-59.30174841,4.44,19921
19990,64.31535896,20.57874033,4.93,19990
20042,64.47341068,-33.79833145,3.55,20042
20070,64.56073112,50.29563944,4.6,20070
20205,64.94805793,15.62770031,3.65,20205
20250,65.08847817,27.35094069,4.97,20250
20252,65.10273351,34.56674228,4.93,20252
20354,65.38811942,46.4989629,4.8,20354
20455,65.73344722,17.5425843,3.77,20455
20535,66.00902233,-34.01698632,3.97,20535
20542,66.02372401,17.44421161,4.8,20542
20635,66.34207825,22.29398098,4.21,20635
20648,66.37215593,17.92798917,4.3,20648
20711,66.57664484,22.81369394,4.28,20711
20713,66.58613217,15.6183462,4.48,20713
20732,66.65156991,14.71385764,4.69,20732
20877,67.10985479,16.35962902,4.96,20877
20885,67.14346805,15.96221721,3.84,20885
20889,67.15388879,19.18052092,3.53,20889
20894,67.16531219,15.8709468,3.4,20894
21029,67.63987124,16.19407556,4.78,21029
21139,67.96945612,-0.04399115,4.91,21139
21248,68.3776229,-29.76583186,4.49,21248
21273,68.46189659,14.84448749,4.65,21273
21281,68.49882684,-55.04500559,3.3,21281
21393,68.88779874,-30.56231049,3.81,21393
21402,68.91347315,10.16091706,4.25,21402
21421,68.98000195,16.50976164,0.87,21421
21444,69.07975243,-3.352448,3.93,21444
21476,69.17264013,41.26485467,4.25,21476
21589,69.53917371,12.51087423,4.27,21589
21594,69.54529558,-14.303587,3.86,21594
21644,69.72330721,-12.12307828,4.99,21644
21683,69.81854938,15.9180242,4.67,21683
21763,70.11039135,-19.67125686,4.32,21763
21770,70.14092957,-41.86357034,4.44,21770
21881,70.56126452,22.95697545,4.27,21881
22109,71.37558764,-3.25462465,4.01,22109
22449,72.45890935,6.96124744,3.19,22449
22453,72.47777728,37.48818131,4.89,22453
22509,72.65300943,8.90025258,4.35,22509
22549,72.80152507,5.60510146,3.68,22549
22667,73.13318214,14.25077828,4.71,22667
22678,73.15833005,36.70319636,4.79,22678
22701,73.2236682,-5.45275591,4.36,22701
22783,73.51254425,66.34266029,4.26,22783
22797,73.5628985,2.44067149,3.71,22797
22845,73.7237672,10.15114511,4.64,22845
22957,74.09300449,13.51457755,4.06,22957
23015,74.24840098,33.16613537,2.69,23015
23040,74.32175175,53.75208289,4.43,23040
23123,74.63709525,1.71403506,4.47,23123
23179,74.81406425,37.8904824,4.93,23179
23231,74.98213784,-12.5372045,4.78,23231
23362,75.35649111,-20.05188078,4.91,23362
23364,75.35977051,-7.17397802,4.8,23364
23416,75.49222507,43.82331397,3.03,23416
23453,75.61950025,41.07588953,3.69,23453
23497,75.77376699,21.5900617,4.62,23497
23522,75.854572,60.44228144,4.03,23522
23595,76.10129897,-35.48287057,4.55,23595
23607,76.1422432,15.40418059,4.65,23607
23685,76.36521705,-22.37085673,3.19,23685
23693,76.37787652,-57.47298928,4.71,23693
23767,76.62862102,41.23464074,3.18,23767
23783,76.66940952,51.59814314,4.98,23783
23835,76.86115023,18.64500711,4.91,23835
23875,76.96264146,-5.08626282,2.78,23875
23972,77.28659571,-8.75407607,4.25,23972
24010,77.42483084,15.59727157,4.81,24010
24244,78.07453075,-11.86914287,4.45,24244
24305,78.2328046,-16.20542901,3.29,24305
24327,78.30785422,-12.94128833,4.36,24327
24331,78.32283171,2.86125346,4.46,24331
24340,78.35721486,38.48467394,4.82,24340
24372,78.43927858,-67.18534976,4.81,24372
24436,78.63446353,-8.20163919,0.18,24436
24608,79.17206517,45.99902927,0.08,24608
24659,79.37093064,-34.89438961,4.81,24659
24674,79.40166225,-6.84438616,3.59,24674
24727,79.54395049,33.37200411,4.54,24727
24813,79.78365993,40.10066732,4.69,24813
24822,79.81912416,22.09669104,4.96,24822
24845,79.89385817,-13.17677698,4.29,24845
24927,80.11213225,-21.23973932,4.7,24927
25044,80.4406153,-0.38246922,4.72,25044
25142,80.7083388,3.54444809,4.99,25142
25247,80.98681839,-7.80795569,4.13,25247
25281,81.11923774,-2.39713844,3.35,25281
25302,81.18677704,1.84644611,4.89,25302
25336,81.28278416,6.34973451,1.64,25336
25428,81.57290804,28.60787346,1.65,25428
25473,81.70928405,3.09567718,4.59,25473
25539,81.9086835,21.93698219,4.88,25539
25606,82.06135971,-20.75923214,2.81,25606
25737,82.43325647,-1.09217557,4.71,25737
25813,82.69603301,5.94821792,4.2,25813
25859,82.8030645,-35.47043592,3.86,25859
25923,82.98275119,-7.30152625,4.62,25923
25930,83.00166562,-0.2990934,2.25,25930
25945,83.0531302,18.59424525,4.32,25945
25984,83.18197584,32.1920314,4.71,25984
25985,83.18255798,-17.82229227,2.58,25985
26069,83.40631813,-62.48985585,3.76,26069
26176,83.70515764,9.48958528,4.39,26176
26199,83.76117163,-6.00202867,4.78,26199
26207,83.78449043,9.93416294,3.39,26207
26220,83.81592896,-5.38731536,4.98,26220
26235,83.84541591,-5.41606331,4.98,26235
26237,83.84650694,-4.83834045,4.58,26237
26241,83.85825475,-5.90989984,2.75,26241
26311,84.05338572,-1.20191725,1.69,26311
26366,84.22637775,9.291412,4.09,26366
26451,84.41118447,21.14259299,2.97,26451
26549,84.68652211,-2.60006791,3.77,26549
26563,84.72121589,-7.21270844,4.77,26563
26594,84.79644123,4.12146667,4.5,26594
26634,84.91224975,-34.07404941,2.65,26634
26727,85.18968672,-1.94257841,1.74,26727
26736,85.21131577,-1.12878569,4.95,26736
26777,85.32381426,16.53418318,4.84,26777
26885,85.61943491,1.47466498,4.9,26885
27072,86.11656241,-22.44748663,3.59,27072
27100,86.19341279,-65.7355408,4.34,27100
27288,86.73895728,-14.82194717,3.55,27288
27321,86.82118054,-51.06671329,3.85,27321
27366,86.93911641,-9.66960186,2.07,27366
27468,87.25399777,24.56755473,4.88,27468
27483,87.29358126,39.18113322,4.51,27483
27511,87.38726446,12.65136584,4.89,27511
27530,87.45656999,-56.1664886,4.5,27530
27628,87.7398034,-35.76929225,3.12,27628
27639,87.7600428,37.30568175,4.72,27639
27654,87.82980343,-20.87751376,3.76,27654
27673,87.87246934,39.14847936,3.97,27673
27750,88.11017813,1.8551579,4.76,27750
27810,88.2786848,-33.8014395,4.88,27810
27830,88.33184814,27.61228536,4.56,27830
27890,88.52458376,-63.09102096,4.65,27890
27913,88.59618305,20.27641498,4.39,27913
27949,88.71160776,55.7069049,4.96,27949
27989,88.79287161,7.40703634,0.45,27989
28010,88.87454313,-37.12060931,4.97,28010
28103,89.10132627,-14.16803805,3.71,28103
28199,89.38421613,-35.28330688,4.36,28199
28237,89.49857371,25.95391597,4.81,28237
28328,89.78662719,-42.81510761,3.96,28328
28358,89.88145972,54.28498197,3.72,28358
28360,89.88237261,44.94743492,1.9,28360
28380,89.93015897,37.21276409,2.65,28380
28404,89.98375587,45.93675346,4.3,28404
28413,90.01393918,-3.07407681,4.53,28413
28574,90.46010757,-10.59793918,4.92,28574
28614,90.59579323,9.64736756,4.12,28614
28716,90.9799315,20.13845865,4.64,28716
28734,91.0300689,23.26363207,4.16,28734
28816,91.24638576,-16.48442713,4.92,28816
28910,91.53889172,-14.93528629,4.67,28910
29038,91.89300774,14.76852318,4.42,29038
29276,92.574638,-54.96866057,4.72,29276
29426,92.98498656,14.20881425,4.45,29426
29434,93.01365054,16.13044684,4.95,29434
29651,93.71390194,-6.27472737,3.99,29651
29655,93.71956952,22.50682376,3.31,29655
29696,93.84473576,29.49871224,4.32,29696
29807,94.13806399,-35.14073157,4.37,29807
29997,94.71158258,69.3200343,4.76,29997
30060,94.90579498,59.01090518,4.44,30060
30093,94.9983516,-2.94449028,4.91,30093
30122,95.07827982,-30.06337656,3.02,30122
30277,95.52852147,-33.43627251,3.85,30277
30324,95.6749475,-17.95591658,1.98,30324
30343,95.73996302,22.51385027,2.87,30343
30419,95.94207368,4.59283881,4.39,30419
30438,95.98787763,-52.69571799,-0.62,30438
30520,96.22459158,49.28789903,4.92,30520
30788,97.04257272,-32.58012947,4.47,30788
30867,97.20447548,-7.03305042,3.76,30867
30883,97.24079361,20.2121672,4.13,30883
31125,97.96403433,-23.41843727,4.34,31125
31216,98.22595658,7.33297921,4.47,31216
31407,98.74411397,-52.97563454,4.35,31407
31416,98.76408302,-22.96483318,4.54,31416
31592,99.17082883,-19.25570928,3.95,31592
31681,99.42792641,16.39941482,1.93,31681
31685,99.44029869,-43.19592394,3.17,31685
31700,99.47260802,-18.23745713,4.42,31700
31827,99.81965168,-14.14574673,4.82,31827
31832,99.83261264,42.48901214,4.8,31832
31978,100.24442101,9.89576021,4.66,31978
32246,100.98304088,25.13115531,3.06,32246
32249,100.99705857,13.22814319,4.49,32249
32349,101.28854105,-16.71314306,-1.44,32349
32362,101.3226398,12.89605513,3.35,32362
32438,101.55896951,59.44169108,4.86,32438
32533,101.83268467,8.03728277,4.77,32533
32578,101.96523679,2.41218914,4.48,32578
32607,102.04807134,-61.94197988,3.24,32607
32759,102.46027285,-32.50848752,3.5,32759
32761,102.46381712,-53.62249221,4.41,32761
32768,102.48390349,-50.61439973,2.94,32768
32844,102.69151315,41.78156548,4.99,32844
32855,102.71812209,-34.36732059,4.99,32855
33018,103.1972503,33.96136985,3.6,33018
33092,103.38712732,-20.22426366,4.82,33092
33152,103.53314518,-24.18422296,3.89,33152
33160,103.54783633,-12.03859273,4.08,33160
33202,103.66080771,13.17801628,4.73,33202
33302,103.90582904,-20.13659348,4.66,33302
33347,104.03427636,-17.05424675,4.36,33347
33357,104.0666214,-48.72116448,4.94,33357
33449,104.31916052,58.42305973,4.35,33449
33485,104.40468738,45.09410202,4.9,33485
33579,104.65644451,-28.97208931,1.5,33579
33694,105.0160332,76.97744152,4.55,33694
33856,105.42979876,-27.93484165,3.49,33856
33971,105.72824798,-4.23923814,4.99,33971
33977,105.75613986,-23.83330131,3.02,33977
34045,105.93955493,-15.63325876,4.11,34045
34059,105.97356647,-49.58425759,4.92,34059
34088,106.02723079,20.57029939,4.01,34088
34444,107.09785853,-26.39320776,1.83,34444
34481,107.18676883,-70.49919435,3.78,34481
34495,107.21281817,-39.65567374,4.83,34495
34622,107.55700787,-4.23763568,4.91,34622
34693,107.78496505,30.24528065,4.41,34693
34752,107.91371845,39.32054373,4.91,34752
34769,107.96608486,-0.49278056,4.15,34769
34834,108.14058722,-46.75956448,4.49,34834
34899,108.30571289,-45.18252474,4.87,34899
34922,108.38429537,-44.64052957,4.42,34922
34981,108.56340179,-26.35251617,4.42,34981
35020,108.65893526,-48.27192832,4.75,35020
35037,108.70275679,-26.77268601,4.01,35037
35205,109.14583928,-27.88127313,4.66,35205
35210,109.153487,-23.31560155,4.83,35210
35228,109.20762844,-67.95717248,3.97,35228
35264,109.28568399,-37.09748689,2.71,35264
35350,109.52336162,16.54047526,3.58,35350
35363,109.57667037,-36.7339666,4.65,35363
35412,109.66825335,-24.55870761,4.88,35412
35415,109.67703283,-24.95438447,4.37,35415
35550,110.0307889,21.98233941,3.5,35550
35727,110.55637515,-19.01658444,4.94,35727
35904,111.02377104,-29.30311979,2.45,35904
36041,111.41207798,9.27611835,4.99,36041
36046,111.43198371,27.79828561,3.78,36046
36145,111.67858726,49.21164489,4.61,36145
36188,111.78780121,8.28940893,2.89,36188
36284,112.04095607,8.92550376,4.33,36284
36366,112.27754045,31.78407932,4.16,36366
36377,112.3078263,-43.30189129,3.25,36377
36425,112.44909205,12.00661101,4.55,36425
36431,112.4642256,-23.02429924,4.85,36431
36514,112.67754202,-30.96228313,4.65,36514
36547,112.76866761,82.41156871,4.92,36547
36773,113.44986614,-14.52390109,4.82,36773
36795,113.51335813,-22.29618077,4.44,36795
36850,113.65001898,31.88863645,1.58,36850
36917,113.8455718,-28.36927798,4.65,36917
36942,113.91541745,-52.53380809,4.93,36942
36962,113.98071783,26.89600343,4.06,36962
37096,114.34216663,-34.96857044,4.53,37096
37173,114.57519746,-25.36478805,4.69,37173
37229,114.70783872,-26.8038924,3.8,37229
37265,114.79148501,34.58463287,4.89,37265
37279,114.82724194,5.22750767,0.4,37279
37297,114.86397492,-38.3080602,4.84,37297
37379,115.09671685,-15.26385208,4.98,37379
37447,115.31198612,-9.55108315,3.94,37447
37504,115.45498347,-72.60613528,3.93,37504
37609,115.751907,58.71048707,4.93,37609
37629,115.82785545,28.8840717,4.23,37629
37648,115.88498187,-28.41095714,4.63,37648
37677,115.95196716,-28.9548352,3.94,37677
37740,116.11195237,24.39812929,3.57,37740
37819,116.31376631,-37.96859848,3.62,37819
37826,116.33068263,28.02631031,1.16,37826
37908,116.53122379,18.51016877,4.89,37908
38070,117.02156206,-25.93718054,4.4,38070
38089,117.08436527,-47.07753199,4.69,38089
38164,117.30957923,-46.37322729,4.1,38164
38170,117.32357809,-24.85978401,3.34,38170
38414,118.05435622,-40.57579889,3.71,38414
38455,118.16105542,-38.86282206,4.49,38455
38500,118.26517655,-49.61307949,4.63,38500
38518,118.32567862,-48.10294824,4.22,38518
38538,118.37431874,26.76585858,4.97,38538
38827,119.19475729,-52.98240062,3.46,38827
38835,119.21482616,-22.88014849,4.2,38835
38901,119.41713237,-30.33458703,4.76,38901
38957,119.56018303,-49.24492865,4.47,38957
39079,119.93410303,-3.67957835,4.93,39079
39095,119.96689649,-18.39914242,4.61,39095
39138,120.08320513,-63.56750271,4.81,39138
39211,120.30540155,-1.39242418,4.69,39211
39311,120.56647202,2.33431429,4.39,39311
39424,120.87957982,27.79441794,4.94,39424
39429,120.89612561,-40.00318846,2.21,39429
39757,121.88625899,-24.30443677,2.83,39757
39794,121.98266997,-68.61713647,4.35,39794
39847,122.11459795,51.50667575,4.78,39847
39863,122.14857362,-2.98377649,4.36,39863
39903,122.25357658,-61.3017058,4.74,39903
