Numero de catalogacao(HIP),Ascensao  reta(alpha),Declinacao (delta),Magnitude visual(V),Real ID(HIP)
39906,122.2568477,-19.24500094,4.4,39906
39953,122.38314727,-47.33661177,1.75,39953
40084,122.81800545,-12.92701835,4.72,40084
40091,122.83958436,-39.61855304,4.44,40091
40096,122.85790344,-42.98728888,4.73,40096
40167,123.05295353,17.64813756,4.67,40167
40259,123.33322933,-15.78821451,4.99,40259
40274,123.37301019,-35.89954225,4.78,40274
40326,123.51202967,-40.34773028,4.42,40326
40526,124.12895101,9.18566295,3.53,40526
40702,124.6302785,-76.91998251,4.05,40702
40706,124.6391383,-36.65953286,4.44,40706
40888,125.16203304,-77.4845764,4.34,40888
40945,125.34597645,-33.05437199,4.83,40945
41037,125.62860299,-59.50953829,1.86,41037
41039,125.63207774,-48.49039742,4.79,41039
41075,125.70887544,43.18837233,4.25,41075
41307,126.41529546,-3.90636482,3.91,41307
41312,126.43435936,-66.13652042,3.77,41312
41704,127.56679232,60.7184311,3.35,41704
42134,128.83186765,-58.0092947,4.84,42134
42312,129.41100573,-42.98910371,4.11,42312
42313,129.41419739,5.70379868,4.14,42313
42402,129.68936993,3.34147477,4.45,42402
42483,129.92704475,-29.56086189,4.86,42483
42509,130.00633068,-12.47537441,4.98,42509
42515,130.02556894,-35.30830091,3.97,42515
42527,130.05374429,64.32787175,4.59,42527
42536,130.07337168,-52.92197259,3.6,42536
42568,130.15431317,-59.76101468,4.31,42568
42570,130.15656369,-46.64875492,3.77,42570
42624,130.3047503,-47.31714129,4.74,42624
42662,130.43055822,-15.94314865,4.87,42662
42726,130.6058767,-53.11404062,4.83,42726
42799,130.80619315,3.39866539,4.3,42799
42806,130.82172127,21.46859609,4.66,42806
42828,130.89811451,-33.18641133,3.68,42828
42835,130.91825129,-7.23372781,4.63,42835
42884,131.09985828,-42.64932331,4.05,42884
42911,131.17129209,18.15486399,3.94,42911
42913,131.17582214,-54.70856797,1.93,42913
43023,131.50689464,-46.0415392,3.87,43023
43067,131.5938644,-13.54770494,4.32,43067
43103,131.67430955,28.76000509,4.03,43103
43105,131.67733004,-56.76979718,4.5,43105
43109,131.6943593,6.41890691,3.38,43109
43234,132.10825351,5.83788486,4.35,43234
43347,132.44853466,-45.30790977,4.94,43347
43409,132.63338051,-27.71005869,4.02,43409
43783,133.76192355,-60.64471195,3.84,43783
43813,133.84868687,5.9455277,3.11,43813
43825,133.8813149,-27.68162589,4.87,43825
43878,134.0803251,-52.72351071,4.68,43878
43937,134.24344613,-59.22935883,4.93,43937
44066,134.62165408,11.85777198,4.26,44066
44127,134.80349479,48.04234956,3.12,44127
44191,135.02266724,-41.25373789,4.45,44191
44248,135.16146765,41.78344401,3.96,44248
44382,135.61166181,-66.39584369,4.0,44382
44390,135.63635792,67.62957486,4.74,44390
44471,135.90649494,47.15665934,3.57,44471
44511,136.03883562,-47.09771376,3.75,44511
44599,136.28679299,-72.60269387,4.47,44599
44626,136.40992522,-70.53852074,4.66,44626
44659,136.49324097,5.09234249,4.99,44659
44700,136.63245022,38.45225024,4.56,44700
44816,136.99907126,-43.43262406,2.23,44816
44824,137.01190516,-25.85853691,4.62,44824
44901,137.21827365,51.60472728,4.46,44901
45038,137.59802574,67.13423886,4.8,45038
45075,137.72887992,63.51378087,4.67,45075
45080,137.74210535,-58.96693014,3.43,45080
45085,137.76834415,-44.86791223,4.99,45085
45101,137.81986611,-62.31701587,3.96,45101
45238,138.30100329,-69.71747245,1.67,45238
45336,138.59080529,2.31502422,3.89,45336
45439,138.90317393,-38.56991789,4.92,45439
45448,138.93778941,-37.41312644,4.63,45448
45493,139.04699516,54.02171207,4.8,45493
45496,139.05042678,-57.54143764,4.34,45496
45556,139.27261834,-59.27526115,2.21,45556
45688,139.71111394,36.80289763,3.82,45688
45751,139.94332821,-11.97488214,4.77,45751
45811,140.12094162,-9.55562948,4.8,45811
45856,140.23679302,-62.40463293,4.79,45856
45860,140.26441169,34.39252592,3.14,45860
45902,140.37332838,-25.96541642,4.71,45902
45941,140.52845511,-55.01069531,2.47,45941
46026,140.80140137,-28.83392305,4.71,46026
46146,141.16366395,26.18244091,4.47,46146
46371,141.82623904,-22.3434176,4.72,46371
46390,141.8968826,-8.65868335,1.99,46390
46509,142.28682816,-2.76895627,4.59,46509
46515,142.31140615,-35.9513478,4.51,46515
46651,142.67547063,-40.46688763,3.6,46651
46701,142.80564072,-57.0343916,3.16,46701
46733,142.88154025,63.06179545,3.65,46733
46750,142.93016816,22.96806545,4.32,46750
46771,142.98663458,11.3000307,4.99,46771
46776,142.99556148,-1.18465438,4.54,46776
46853,143.21802191,51.67860208,3.17,46853
46952,143.5557374,36.39761338,4.54,46952
46974,143.61109601,-59.22976797,4.08,46974
46977,143.62069943,69.83015419,4.54,46977
47006,143.70622878,52.05156754,4.47,47006
47029,143.76605199,39.62144313,4.81,47029
47175,144.2069042,-49.3551286,4.34,47175
47193,144.27229969,81.32642085,4.28,47193
47310,144.6141046,4.64941422,4.68,47310
47391,144.83767061,-61.32810523,4.51,47391
47431,144.96389156,-1.14265722,3.9,47431
47508,145.28799116,9.89239902,3.52,47508
47522,145.32094152,-23.59152139,4.76,47522
47592,145.56113137,-23.91620867,4.93,47592
47758,146.05054261,-27.76956287,4.78,47758
47854,146.31178147,-62.50792328,3.69,47854
47908,146.4629267,23.77427792,2.97,47908
48002,146.7755734,-65.07201888,2.92,48002
48319,147.74871542,59.03910437,3.78,48319
48356,147.86951033,-14.84654997,4.11,48356
48374,147.91953494,-46.54764424,4.58,48374
48402,148.02650069,54.06428574,4.55,48402
48455,148.19149028,26.00708498,3.88,48455
48559,148.55182725,-25.93248205,4.87,48559
48615,148.71765461,-19.00926985,4.94,48615
48774,149.2156452,-54.5677973,3.52,48774
49029,150.05343468,8.04427686,4.68,49029
49402,151.28121856,-13.06467435,4.6,49402
49583,151.83313948,16.76266572,3.48,49583
49593,151.85718812,35.24469176,4.49,49593
49637,151.9763285,9.99766389,4.39,49637
49641,151.98456489,-0.37162786,4.48,49641
49669,152.09358075,11.96719513,1.36,49669
49712,152.23439032,-51.81126187,4.85,49712
49841,152.64748785,-12.35383921,3.61,49841
50099,153.43449551,-70.03792169,3.29,50099
50191,153.68447399,-42.12206281,3.85,50191
50335,154.17251805,23.4173284,3.43,50335
50371,154.27085535,-61.33231977,3.39,50371
50372,154.27469564,42.91446855,3.45,50372
50555,154.90318833,-55.02931452,4.59,50555
50564,154.93462599,19.47143591,4.78,50564
50583,154.99234054,19.84186032,2.01,50583
50676,155.22839581,-56.04322401,4.5,50676
50799,155.58169175,-41.65010791,4.82,50799
50801,155.58251355,41.4994335,3.06,50801
50847,155.74241361,-66.90152522,4.97,50847
50933,156.03274518,65.56647366,4.94,50933
50954,156.09891874,-74.03154474,3.99,50954
51056,156.47861301,33.79626364,4.72,51056
51069,156.52293768,-16.83609584,3.83,51069
51172,156.78814953,-31.06780228,4.28,51172
51192,156.85199279,-57.63881373,4.65,51192
51232,156.96977108,-58.73940856,3.81,51232
51233,156.97121865,36.70747818,4.2,51233
51438,157.58364619,-71.99271995,4.72,51438
51459,157.65735143,55.98061759,4.82,51459
51495,157.75864399,-73.2215089,4.94,51495
51523,157.84264509,-53.7159928,4.89,51523
51576,158.0061825,-61.68536031,3.3,51576
51624,158.20281305,9.30659431,3.84,51624
51658,158.30832166,40.42554046,4.72,51658
51808,158.77328496,75.71298403,4.86,51808
51839,158.86757668,-78.60781379,4.11,51839
51849,158.89714422,-57.55763551,4.45,51849
51979,159.30749487,-27.41268661,4.87,51979
51986,159.32606984,-48.22561631,3.84,51986
52009,159.38853109,-13.38445095,4.89,52009
52085,159.6458878,-16.87663687,4.91,52085
52098,159.68005265,31.97622008,4.68,52098
52102,159.68755215,-59.18299905,4.69,52102
52154,159.82671887,-55.60327905,4.29,52154
52370,160.55893343,-64.4664538,4.76,52370
52419,160.73927802,-64.39447937,2.74,52419
52468,160.88461543,-60.56662705,4.58,52468
52502,161.02890478,-63.9611007,4.8,52502
52633,161.44639899,-80.54020283,4.45,52633
52727,161.69217542,-49.42012517,2.69,52727
52736,161.71351737,-64.38349702,4.87,52736
52943,162.40596699,-16.19413208,3.11,52943
53229,163.32766612,34.21556641,3.79,53229
53253,163.3731926,-58.85326474,3.78,53253
53295,163.49460834,43.19001538,4.66,53295
53417,163.90353339,24.74975451,4.3,53417
53502,164.17915128,-37.1374629,4.6,53502
53740,164.94478664,-18.29909723,4.08,53740
53773,165.03852431,-42.22586959,4.37,53773
53807,165.14016441,3.61753351,4.84,53807
53824,165.18680144,6.10150342,4.98,53824
53907,165.45695372,-2.48449705,4.73,53907
53910,165.4599615,56.38234478,2.34,53910
53954,165.58242155,20.17974575,4.42,53954
54061,165.93265365,61.75111888,1.81,54061
54182,166.25512463,7.33612254,4.62,54182
54204,166.33346925,-27.29359566,4.92,54204
54301,166.6353096,-62.42413654,4.62,54301
54463,167.14748181,-58.97504198,3.93,54463
54539,167.41608092,44.49855337,3.0,54539
54682,167.91452617,-22.82560642,4.46,54682
54751,168.15008453,-60.3176307,4.59,54751
54872,168.52671705,20.52403384,2.56,54872
54879,168.56017036,15.4297631,3.33,54879
54951,168.80101292,23.09552528,4.56,54951
55084,169.16568371,-3.65151412,4.45,55084
55219,169.61981385,33.09423881,3.49,55219
55266,169.78309755,38.18572227,4.76,55266
55282,169.83551103,-14.77904358,3.56,55282
55425,170.25184266,-54.49101395,3.9,55425
55434,170.28436733,6.02935289,4.05,55434
55560,170.70672415,43.48273665,4.99,55560
55642,170.98070334,10.52969772,4.0,55642
55687,171.15252245,-10.85938276,4.81,55687
55705,171.22076335,-17.68401748,4.06,55705
55945,171.98429124,2.85629071,4.95,55945
56127,172.57867422,-3.00345887,4.77,56127
56211,172.85120199,69.33112161,3.82,56211
56280,173.06840611,-29.26137351,4.93,56280
56343,173.25107936,-31.85752405,3.54,56343
56480,173.69046642,-54.26413167,4.62,56480
56561,173.94553448,-63.01982488,3.11,56561
56633,174.17061875,-9.80225368,4.7,56633
56647,174.23720774,-0.82385424,4.3,56647
56922,175.05341839,-34.7446553,4.7,56922
56986,175.22355273,-62.09010401,4.93,56986
57283,176.19066226,-18.35061467,4.71,57283
57328,176.32085333,8.25817475,4.84,57328
57363,176.40236386,-66.72884344,3.63,57363
57380,176.46487734,6.52981394,4.04,57380
57399,176.51305887,47.77933701,3.69,57399
57439,176.62853753,-61.17835907,4.11,57439
57443,176.63436255,-40.50133452,4.89,57443
57565,176.9967765,20.21894121,4.5,57565
57581,177.06037263,-66.81487085,4.75,57581
57632,177.26615977,14.57233687,2.14,57632
57669,177.42120019,-63.78848906,4.3,57669
57696,177.48594609,-70.2257858,4.98,57696
57757,177.67202553,1.76537705,3.59,57757
57803,177.78646511,-45.1734495,4.47,57803
57851,177.96363695,-65.20589445,4.89,57851
57936,178.22733867,-33.90813014,4.29,57936
58001,178.45725536,53.69473296,2.41,58001
58484,179.90704708,-78.22181833,4.88,58484
58590,180.21829289,6.61439464,4.65,58590
58758,180.75707974,-63.31294495,4.32,58758
58867,181.08015725,-63.16571094,4.72,58867
58948,181.30279,8.73284563,4.12,58948
59072,181.72022021,-64.61363898,4.14,59072
59173,182.02190127,-50.66125439,4.46,59173
59196,182.08976505,-50.72240999,2.58,59196
59199,182.10313607,-24.72877993,4.02,59199
59316,182.53135773,-22.61979211,3.02,59316
59449,182.9131309,-52.36841559,3.97,59449
59747,183.78648733,-58.74890179,2.79,59747
59774,183.85603795,57.03259792,3.32,59774
59803,183.95194937,-17.5419837,2.58,59803
59847,184.08564668,23.94542332,4.93,59847
59856,184.1257284,33.06179861,4.99,59856
59929,184.39431802,-67.96067161,4.06,59929
60000,184.58726633,-79.31226899,4.24,60000
60009,184.609553,-64.00304555,4.06,60009
60129,184.97663096,-0.66674709,3.89,60129
60172,185.08813566,3.31272688,4.97,60172
60202,185.17955477,17.79265307,4.72,60202
60260,185.34088036,-60.40136988,3.59,60260
60351,185.62632982,25.84618178,4.78,60351
60485,186.00617625,51.56222925,4.76,60485
60697,186.60030726,27.26826273,4.92,60697
60710,186.63245078,-51.4506115,4.82,60710
60718,186.64975585,-63.09905586,0.77,60718
60742,186.73469831,28.26861975,4.35,60742
60746,186.74710034,26.8257216,4.98,60746
60823,187.01004828,-50.2306048,3.91,60823
60965,187.4665965,-16.51509397,2.94,60965
61084,187.79137202,-57.11256922,1.59,61084
61174,188.01868646,-16.19586556,4.3,61174
61199,188.11712896,-72.1329759,3.84,61199
61281,188.37101041,69.78820992,3.85,61281
61317,188.43788561,41.35676779,4.24,61317
61359,188.59680864,-23.39662306,2.65,61359
61384,188.68360523,70.02177318,4.95,61384
61394,188.71299083,22.62918961,4.8,61394
61585,189.29618208,-69.13553358,2.69,61585
61622,189.42636588,-48.54128816,3.85,61622
61740,189.81171855,-7.99550439,4.66,61740
61789,189.96900602,-39.98724188,4.63,61789
61932,190.38002079,-48.95988553,2.2,61932
61941,190.41667557,-1.44952231,2.74,61941
61960,190.47086482,10.23584294,4.88,61960
61966,190.48582,-59.68581085,4.91,61966
62012,190.6481714,-48.81303493,4.66,62012
62268,191.40798434,-60.98116057,4.69,62268
62322,191.57029013,-68.10809405,3.04,62322
62327,191.59478955,-56.48877967,4.62,62327
62434,191.93049537,-59.68873246,1.25,62434
62683,192.67161238,-33.99926779,4.9,62683
62763,192.92469926,27.54073393,4.93,62763
62867,193.27906907,-48.94325313,4.33,62867
62886,193.32404513,21.24502058,4.89,62886
62896,193.35894159,-40.17881857,4.25,62896
62956,193.5068041,55.95984301,1.76,62956
62985,193.58822553,-9.53894647,4.77,62985
63003,193.64857337,-57.17789116,4.03,63003
63007,193.66341683,-59.14666538,4.62,63007
63090,193.90201366,3.39759862,3.39,63090
63125,194.00767051,38.31824617,2.89,63125
63355,194.73110786,17.40936063,4.76,63355
63462,195.06868941,30.78503676,4.88,63462
63503,195.18160731,56.36633134,4.93,63503
63608,195.54483557,10.95910186,2.85,63608
63613,195.56573968,-71.54879865,3.61,63613
63724,195.88894965,-49.52723627,4.83,63724
63945,196.56970994,-48.46325358,4.71,63945
64004,196.72776268,-49.90621586,4.27,64004
64022,196.79461606,27.62490672,4.8,64022
64166,197.26367917,-23.11797275,4.94,64166
64238,197.48755015,-5.53892987,4.38,64238
64241,197.49812263,17.52911621,4.32,64241
64394,197.97051117,27.87603769,4.23,64394
64408,198.01444495,-37.80313606,4.85,64408
64425,198.07345539,-59.92053651,4.58,64425
64540,198.42908954,40.15284766,4.94,64540
64583,198.56428372,-59.10285946,4.9,64583
64661,198.81249082,-67.8945633,4.79,64661
64820,199.30431246,-66.78342263,4.86,64820
64844,199.38598801,40.57256275,4.72,64844
64852,199.40119538,5.46984502,4.78,64852
64924,199.60405,-18.30861062,4.74,64924
64962,199.7302224,-23.17141246,2.99,64962
65109,200.15027321,-36.71208109,2.75,65109
65271,200.65824899,-60.98835608,4.52,65271
65378,200.98091604,54.92541525,2.23,65378
65387,201.00184737,-64.53561699,4.52,65387
65474,201.2983523,-11.16124491,0.98,65474
65477,201.30589832,54.98799884,3.99,65477
65639,201.86349201,-15.97363075,4.76,65639
65721,202.10812668,13.78018777,4.97,65721
65936,202.76111861,-39.40727983,3.9,65936
66006,202.99144179,-6.25571065,4.68,66006
66200,203.5329387,3.65902506,4.92,66200
66234,203.61405606,49.01590606,4.68,66234
66249,203.673978,-0.59593821,3.38,66249
66257,203.69894294,37.18243871,4.91,66257
66458,204.36540378,36.29484073,4.82,66458
66657,204.97196962,-53.46636269,2.29,66657
66738,205.18455213,54.68166149,4.63,66738
66821,205.43672827,-54.55936543,4.99,66821
67153,206.42319432,-33.04336606,4.23,67153
67234,206.66403516,-51.43269771,4.64,67234
67275,206.81681937,17.45677436,4.5,67275
67301,206.8856088,49.31330288,1.85,67301
67457,207.36146356,-34.45063035,4.19,67457
67459,207.36957439,15.79780583,4.05,67459
67464,207.3762392,-41.68765971,3.41,67464
67472,207.40419934,-42.47368506,3.47,67472
67480,207.42841642,21.26406422,4.92,67480
67494,207.468102,-18.13407618,4.96,67494
67627,207.85807331,64.72328281,4.58,67627
67665,207.94787312,34.44431774,4.76,67665
67669,207.95677175,-32.99401625,4.32,67669
67786,208.30228458,-31.92758624,4.75,67786
67927,208.6713175,18.39858742,2.68,67927
68002,208.88514539,-47.28826634,2.55,68002
68191,209.41223681,-63.68661603,4.71,68191
68245,209.56785278,-42.10070526,3.83,68245
68282,209.6698807,-44.8035314,3.87,68282
68520,210.41159648,1.54458338,4.23,68520
68523,210.43121648,-45.60336989,4.34,68523
68702,210.95601898,-60.3729784,0.61,68702
68756,211.09760837,64.37580873,3.67,68756
68862,211.5116084,-41.17958035,4.36,68862
68895,211.59278733,-26.68201883,3.25,68895
68933,211.67218608,-36.36869575,2.06,68933
69112,212.21253759,77.54743312,4.8,69112
69191,212.47898599,-53.43872584,4.74,69191
69226,212.59978522,25.09182293,4.82,69226
69269,212.71034788,-16.30200362,4.93,69269
69389,213.06596003,2.40949613,4.99,69389
69427,213.22392088,-10.274044,4.18,69427
69483,213.37062458,51.78999066,4.53,69483
69673,213.91811403,19.18726997,-0.05,69673
69701,214.00368717,-5.99952622,4.07,69701
69713,214.04195627,51.36701398,4.75,69713
69732,214.09656821,46.08791894,4.18,69732
69879,214.49923373,35.50947085,4.8,69879
69896,214.55821047,-81.00760147,4.89,69896
69974,214.77750771,-13.37116634,4.52,69974
69996,214.85096972,-46.05808391,3.55,69996
70027,214.93883677,16.30680118,4.84,70027
70069,215.08146975,-56.38647906,4.3,70069
70090,215.13949709,-37.88526711,4.05,70090
70104,215.17729569,-45.1868814,4.78,70104
70264,215.65467485,-58.45915834,4.76,70264
70300,215.75940538,-39.51176599,4.41,70300
70306,215.77461567,-27.75373395,4.78,70306
70327,215.84475026,8.44664037,4.86,70327
70497,216.30008064,51.85171354,4.04,70497
70574,216.53431272,-45.22138996,4.56,70574
70576,216.54500648,-45.37926095,4.33,70576
70638,216.73225313,-83.66785308,4.31,70638
70692,216.88134383,75.69593921,4.25,70692
70753,217.04351389,-29.49157976,4.97,70753
70755,217.05091806,-2.22795009,4.81,70755
71053,217.95774098,30.37114497,3.57,71053
71075,218.01982421,38.30788348,3.04,71075
71121,218.15451447,-50.45712132,4.44,71121
71284,218.66954381,29.74480735,4.47,71284
71352,218.87688163,-42.15774562,2.33,71352
71536,219.47187965,-49.42575765,4.05,71536
71681,219.91412833,-60.83947139,1.35,71681
71683,219.92041034,-60.83514707,-0.01,71683
71762,220.18150404,16.4183013,4.49,71762
71795,220.28716819,13.72833113,3.78,71795
71832,220.4114855,8.16175611,4.86,71832
71860,220.48239101,-47.38814127,2.3,71860
71865,220.49005323,-37.79342394,4.01,71865
71908,220.62785433,-64.97456957,3.18,71908
71957,220.76484284,-5.6574291,3.87,71957
71995,220.85571623,26.52789077,4.8,71995
72010,220.91451458,-35.17322549,4.06,72010
72104,221.24664628,-35.19182069,4.92,72104
72105,221.24687869,27.07417383,2.35,72105
72125,221.31040511,16.96440296,4.6,72125
72220,221.56246594,1.8929383,3.73,72220
72370,221.96552567,-79.04471242,3.83,72370
72571,222.5727779,-27.96021925,4.42,72571
72607,222.67664751,74.15547596,2.07,72607
72622,222.71990536,-16.04161047,2.75,72622
72631,222.75425052,-2.29884995,4.93,72631
72659,222.84701756,19.10063329,4.54,72659
72683,222.9096805,-43.57529383,4.32,72683
73165,224.29606996,-4.34608634,4.47,73165
73199,224.39632979,65.93238126,4.63,73199
73273,224.63314193,-43.13386699,2.68,73273
73334,224.79041254,-42.10414199,3.13,73334
73473,225.24328191,-8.51893488,4.91,73473
73555,225.48663804,40.39063671,3.49,73555
73568,225.52713391,25.00825646,4.8,73568
73620,225.7252916,2.09127129,4.39,73620
73695,225.94867417,47.65401409,4.83,73695
73714,226.01775793,-25.28185602,3.25,73714
73745,226.11190457,26.94765981,4.52,73745
73807,226.27960699,-47.05119386,3.91,73807
73996,226.82477948,24.86959294,4.93,73996
74117,227.21095653,-45.27979406,4.07,74117
74376,227.98400434,-48.73770212,3.88,74376
74392,228.05546736,-19.79163143,4.54,74392
74395,228.07167982,-52.09907465,3.41,74395
74449,228.20668641,-44.50035965,4.83,74449
74604,228.6555245,-31.51912564,4.91,74604
74666,228.87543241,33.31510222,3.46,74666
74785,229.25196591,-9.38286694,2.61,74785
74824,229.3790009,-58.80087882,4.07,74824
74837,229.41203255,-63.61048662,4.85,74837
74857,229.45768699,-30.14866233,4.35,74857
74911,229.63353586,-47.87519201,4.27,74911
74946,229.72787007,-68.67946723,2.87,74946
75097,230.1822884,71.83397308,3.0,75097
75141,230.34306833,-40.64745946,3.22,75141
75177,230.45181856,-36.26116729,3.57,75177
75206,230.53497528,-47.92746963,4.99,75206
75264,230.67036465,-44.68957314,3.37,75264
75304,230.78901374,-36.85843627,4.54,75304
75312,230.80094284,30.28824114,4.99,75312
75323,230.84440733,-59.32069839,4.48,75323
75379,231.04970889,-10.32189476,4.92,75379
75411,231.12306762,37.37696091,4.31,75411
75458,231.2324337,58.96602354,3.29,75458
75501,231.33438516,-38.7335881,4.6,75501
75695,231.95771631,29.10549164,3.66,75695
76041,232.94580142,40.89936876,4.98,76041
76127,233.23248309,31.35915517,4.14,76127
76219,233.54383219,-10.06395962,4.61,76219
76267,233.67162293,26.71491041,2.22,76267
76276,233.7007926,10.53885916,3.8,76276
76297,233.78525156,-41.16669497,2.8,76297
76333,233.88141398,-14.78955365,3.91,76333
76371,233.97193752,-44.95833688,4.55,76371
76440,234.17994543,-66.31690469,4.11,76440
76470,234.25607748,-28.13507099,3.6,76470
76552,234.51384287,-42.56748493,4.34,76552
76600,234.66410153,-29.77768935,3.66,76600
76669,234.84451583,36.63582763,4.64,76669
76705,234.94156188,-34.41189273,4.66,76705
76742,235.07043893,-23.81805841,4.97,76742
76829,235.29798226,-44.66055926,4.64,76829
76852,235.38788463,19.67050566,4.51,76852
76880,235.48674445,-19.67857446,4.75,76880
76945,235.67098805,-34.71033325,4.75,76945
76952,235.68599269,26.29551419,3.81,76952
77055,236.01443312,77.79449901,4.29,77055
77070,236.06664914,6.42551971,2.63,77070
77233,236.54672877,15.42192602,3.65,77233
77257,236.61144121,7.35323973,4.42,77257
77450,237.18503586,18.1417793,4.09,77450
77512,237.39874182,26.06854936,4.59,77512
77516,237.40527375,-3.43014112,3.54,77516
77622,237.70371344,4.4775798,3.71,77622
77634,237.7397573,-33.62710488,3.97,77634
77635,237.74480683,-25.75123489,4.63,77635
77655,237.80807231,35.65822638,4.79,77655
77661,237.81642977,20.97787548,4.74,77661
77760,238.16747684,42.44998796,4.6,77760
77840,238.40303498,-25.32708018,4.59,77840
77853,238.45615438,-16.7296223,4.13,77853
77952,238.78670013,-63.42974973,2.83,77952
78072,239.11247598,15.66473327,3.85,78072
78104,239.22119438,-29.21401221,3.87,78104
78159,239.39709121,26.87802632,4.14,78159
78180,239.44830388,54.74950359,4.96,78180
78207,239.54740116,-14.27931773,4.95,78207
78265,239.71300283,-26.1140428,2.89,78265
78323,239.87623269,-41.74439602,4.99,78323
78384,240.03058543,-38.39664079,3.42,78384
78401,240.08338225,-22.62162024,2.29,78401
78493,240.36079431,29.85107821,4.98,78493
78527,240.4737656,58.56443739,4.01,78527
78554,240.57370453,22.80439543,4.82,78554
78592,240.69937951,46.03685378,4.72,78592
78639,240.80358419,-49.22972074,4.65,78639
78650,240.83611243,-25.86514891,4.96,78650
78655,240.85084398,-38.60247122,4.9,78655
78662,240.88425437,-57.77487351,4.63,78662
78820,241.35931206,-19.80539286,2.56,78820
78821,241.36073017,-19.80184191,4.9,78821
78914,241.6225984,-45.17327517,4.73,78914
78918,241.64815129,-36.80221297,4.22,78918
78933,241.70180197,-20.66913479,3.93,78933
78990,241.85125058,-20.8686541,4.31,78990
79101,242.19249715,44.93481883,4.23,79101
79119,242.24303566,36.49010935,4.73,79119
79374,242.99891879,-19.46064684,4.0,79374
79375,243.00000648,-10.06418514,4.93,79375
